"Numero_Fiche";"Codes_Rome_Code";"Codes_Rome_Libelle"
"RNCP285";"H1502";"Management et ingénierie qualité industrielle"
"RNCP285";"H2502";"Management et ingénierie de production"
"RNCP285";"H1206";"Management et ingénierie études, recherche et développement industriel"
"RNCP286";"G1203";"Animation de loisirs auprès d''enfants ou d''adolescents"
"RNCP286";"G1202";"Animation d''activités culturelles ou ludiques"
"RNCP286";"K1206";"Intervention socioculturelle"
"RNCP289";"M1203";"Comptabilité"
"RNCP290";"K2306";"Supervision d''exploitation éco-industrielle"
"RNCP290";"H1303";"Intervention technique en Hygiène Sécurité Environnement -HSE- industriel"
"RNCP290";"H1503";"Intervention technique en laboratoire d''analyse industrielle"
"RNCP291";"C1502";"Gestion locative immobilière"
"RNCP292";"L1505";"Image cinématographique et télévisuelle"
"RNCP295";"H1209";"Intervention technique en études et développement électronique"
"RNCP296";"H1203";"Conception et dessin produits mécaniques"
"RNCP297";"B1201";"Réalisation d''objets décoratifs et utilitaires en céramique et matériaux de synthèse"
"RNCP298";"E1106";"Journalisme et information média"
"RNCP298";"E1402";"Élaboration de plan média"
"RNCP298";"E1401";"Développement et promotion publicitaire"
"RNCP298";"E1104";"Conception de contenus multimédias"
"RNCP298";"E1103";"Communication"
"RNCP299";"G1402";"Management d''hôtel-restaurant"
"RNCP299";"G1404";"Management d''établissement de restauration collective"
"RNCP299";"G1601";"Management du personnel de cuisine"
"RNCP300";"M1604";"Assistanat de direction"
"RNCP301";"M1203";"Comptabilité"
"RNCP302";"M1203";"Comptabilité"
"RNCP303";"K2306";"Supervision d''exploitation éco-industrielle"
"RNCP303";"A1301";"Conseil et assistance technique en agriculture"
"RNCP304";"I1306";"Installation et maintenance en froid, conditionnement d''air"
"RNCP305";"H2602";"Câblage électrique et électromécanique"
"RNCP305";"F1602";"Électricité bâtiment"
"RNCP306";"M1805";"Études et développement informatique"
"RNCP310";"N1101";"Conduite d''engins de déplacement des charges"
"RNCP311";"N1103";"Magasinage et préparation de commandes"
"RNCP316";"I1203";"Maintenance des bâtiments et des locaux"
"RNCP317";"F1609";"Pose de revêtements souples"
"RNCP318";"F1501";"Montage de structures et de charpentes bois"
"RNCP318";"F1503";"Réalisation - installation d''ossatures bois"
"RNCP319";"F1606";"Peinture en bâtiment"
"RNCP320";"F1604";"Montage d''agencements"
"RNCP324";"G1204";"Éducation en activités sportives"
"RNCP326";"E1205";"Réalisation de contenus multimédias"
"RNCP326";"E1104";"Conception de contenus multimédias"
"RNCP330";"G1204";"Éducation en activités sportives"
"RNCP331";"K1802";"Développement local"
"RNCP332";"G1204";"Éducation en activités sportives"
"RNCP333";"K1206";"Intervention socioculturelle"
"RNCP333";"G1202";"Animation d''activités culturelles ou ludiques"
"RNCP334";"M1607";"Secrétariat"
"RNCP335";"G1602";"Personnel de cuisine"
"RNCP336";"M1203";"Comptabilité"
"RNCP337";"M1604";"Assistanat de direction"
"RNCP339";"D1406";"Management en force de vente"
"RNCP339";"D1407";"Relation technico-commerciale"
"RNCP340";"M1805";"Études et développement informatique"
"RNCP340";"M1802";"Expertise et support en systèmes d''information"
"RNCP340";"M1803";"Direction des systèmes d''information"
"RNCP341";"F1106";"Ingénierie et études du BTP"
"RNCP342";"F1106";"Ingénierie et études du BTP"
"RNCP342";"F1103";"Contrôle et diagnostic technique du bâtiment"
"RNCP343";"D1407";"Relation technico-commerciale"
"RNCP343";"H1102";"Management et ingénierie d''affaires"
"RNCP344";"A1301";"Conseil et assistance technique en agriculture"
"RNCP345";"A1303";"Ingénierie en agriculture et environnement naturel"
"RNCP345";"H1503";"Intervention technique en laboratoire d''analyse industrielle"
"RNCP346";"A1203";"Aménagement et entretien des espaces verts"
"RNCP347";"A1301";"Conseil et assistance technique en agriculture"
"RNCP348";"A1301";"Conseil et assistance technique en agriculture"
"RNCP348";"A1303";"Ingénierie en agriculture et environnement naturel"
"RNCP349";"A1301";"Conseil et assistance technique en agriculture"
"RNCP350";"A1301";"Conseil et assistance technique en agriculture"
"RNCP351";"K2306";"Supervision d''exploitation éco-industrielle"
"RNCP352";"A1204";"Protection du patrimoine naturel"
"RNCP353";"A1204";"Protection du patrimoine naturel"
"RNCP354";"A1301";"Conseil et assistance technique en agriculture"
"RNCP355";"H2504";"Encadrement d''équipe en industrie de transformation"
"RNCP356";"H2504";"Encadrement d''équipe en industrie de transformation"
"RNCP357";"H2504";"Encadrement d''équipe en industrie de transformation"
"RNCP358";"A1301";"Conseil et assistance technique en agriculture"
"RNCP359";"A1301";"Conseil et assistance technique en agriculture"
"RNCP360";"A1414";"Horticulture et maraîchage"
"RNCP360";"A1301";"Conseil et assistance technique en agriculture"
"RNCP361";"K1802";"Développement local"
"RNCP362";"D1503";"Management/gestion de rayon produits non alimentaires"
"RNCP362";"D1406";"Management en force de vente"
"RNCP362";"D1402";"Relation commerciale grands comptes et entreprises"
"RNCP363";"D1503";"Management/gestion de rayon produits non alimentaires"
"RNCP363";"D1406";"Management en force de vente"
"RNCP363";"D1407";"Relation technico-commerciale"
"RNCP364";"D1406";"Management en force de vente"
"RNCP364";"D1407";"Relation technico-commerciale"
"RNCP364";"D1502";"Management/gestion de rayon produits alimentaires"
"RNCP365";"D1503";"Management/gestion de rayon produits non alimentaires"
"RNCP365";"D1406";"Management en force de vente"
"RNCP365";"D1407";"Relation technico-commerciale"
"RNCP366";"D1503";"Management/gestion de rayon produits non alimentaires"
"RNCP366";"D1406";"Management en force de vente"
"RNCP366";"D1407";"Relation technico-commerciale"
"RNCP367";"K1403";"Management de structure de santé, sociale ou pénitentiaire"
"RNCP368";"A1301";"Conseil et assistance technique en agriculture"
"RNCP368";"A1416";"Polyculture, élevage"
"RNCP369";"A1416";"Polyculture, élevage"
"RNCP369";"A1301";"Conseil et assistance technique en agriculture"
"RNCP370";"A1301";"Conseil et assistance technique en agriculture"
"RNCP370";"A1416";"Polyculture, élevage"
"RNCP371";"A1405";"Arboriculture et viticulture"
"RNCP373";"D1201";"Achat vente d''objets d''art, anciens ou d''occasion"
"RNCP374";"E1103";"Communication"
"RNCP374";"E1401";"Développement et promotion publicitaire"
"RNCP375";"M1101";"Achats"
"RNCP375";"M1703";"Management et gestion de produit"
"RNCP375";"H1402";"Management et ingénierie méthodes et industrialisation"
"RNCP375";"H1401";"Management et ingénierie gestion industrielle et logistique"
"RNCP375";"H2502";"Management et ingénierie de production"
"RNCP376";"I1402";"Réparation de biens électrodomestiques et multimédia"
"RNCP377";"K1206";"Intervention socioculturelle"
"RNCP377";"G1202";"Animation d''activités culturelles ou ludiques"
"RNCP378";"K1206";"Intervention socioculturelle"
"RNCP378";"G1202";"Animation d''activités culturelles ou ludiques"
"RNCP379";"D1509";"Management de département en grande distribution"
"RNCP379";"D1503";"Management/gestion de rayon produits non alimentaires"
"RNCP379";"D1402";"Relation commerciale grands comptes et entreprises"
"RNCP380";"D1509";"Management de département en grande distribution"
"RNCP380";"D1503";"Management/gestion de rayon produits non alimentaires"
"RNCP380";"D1402";"Relation commerciale grands comptes et entreprises"
"RNCP381";"H1303";"Intervention technique en Hygiène Sécurité Environnement -HSE- industriel"
"RNCP382";"D1503";"Management/gestion de rayon produits non alimentaires"
"RNCP382";"D1501";"Animation de vente"
"RNCP384";"M1203";"Comptabilité"
"RNCP386";"H2202";"Conduite d''équipement de fabrication de l''ameublement et du bois"
"RNCP387";"I1308";"Maintenance d''installation de chauffage"
"RNCP387";"I1306";"Installation et maintenance en froid, conditionnement d''air"
"RNCP388";"L1503";"Décor et accessoires spectacle"
"RNCP388";"F1606";"Peinture en bâtiment"
"RNCP389";"F1604";"Montage d''agencements"
"RNCP390";"F1607";"Pose de fermetures menuisées"
"RNCP391";"F1702";"Construction de routes et voies"
"RNCP392";"I1307";"Installation et maintenance télécoms et courants faibles"
"RNCP393";"I1306";"Installation et maintenance en froid, conditionnement d''air"
"RNCP393";"I1308";"Maintenance d''installation de chauffage"
"RNCP394";"F1202";"Direction de chantier du BTP"
"RNCP395";"F1601";"Application et décoration en plâtre, stuc et staff"
"RNCP396";"F1701";"Construction en béton"
"RNCP397";"M1207";"Trésorerie et financement"
"RNCP397";"M1201";"Analyse et ingénierie financière"
"RNCP397";"C1204";"Conception et expertise produits bancaires et financiers"
"RNCP397";"C1101";"Conception - développement produits d''assurances"
"RNCP397";"C1105";"Études actuarielles en assurances"
"RNCP398";"G1402";"Management d''hôtel-restaurant"
"RNCP399";"A1203";"Aménagement et entretien des espaces verts"
"RNCP400";"F1604";"Montage d''agencements"
"RNCP400";"F1606";"Peinture en bâtiment"
"RNCP400";"F1611";"Réalisation et restauration de façades"
"RNCP401";"F1605";"Montage de réseaux électriques et télécoms"
"RNCP402";"I1306";"Installation et maintenance en froid, conditionnement d''air"
"RNCP402";"I1308";"Maintenance d''installation de chauffage"
"RNCP402";"I1310";"Maintenance mécanique industrielle"
"RNCP402";"I1304";"Installation et maintenance d''équipements industriels et d''exploitation"
"RNCP403";"K1801";"Conseil en emploi et insertion socioprofessionnelle"
"RNCP404";"K1203";"Encadrement technique en insertion professionnelle"
"RNCP405";"F1202";"Direction de chantier du BTP"
"RNCP406";"F1611";"Réalisation et restauration de façades"
"RNCP407";"F1705";"Pose de canalisations"
"RNCP408";"L1103";"Présentation de spectacles ou d''émissions"
"RNCP408";"E1106";"Journalisme et information média"
"RNCP408";"E1103";"Communication"
"RNCP409";"H1503";"Intervention technique en laboratoire d''analyse industrielle"
"RNCP409";"H1506";"Intervention technique qualité en mécanique et travail des métaux"
"RNCP410";"D1212";"Vente en décoration et équipement du foyer"
"RNCP410";"D1214";"Vente en habillement et accessoires de la personne"
"RNCP410";"D1211";"Vente en articles de sport et loisirs"
"RNCP411";"E1205";"Réalisation de contenus multimédias"
"RNCP411";"E1104";"Conception de contenus multimédias"
"RNCP412";"D1503";"Management/gestion de rayon produits non alimentaires"
"RNCP413";"F1102";"Conception - aménagement d''espaces intérieurs"
"RNCP413";"B1301";"Décoration d''espaces de vente et d''exposition"
"RNCP414";"E1103";"Communication"
"RNCP415";"M1501";"Assistanat en ressources humaines"
"RNCP416";"D1503";"Management/gestion de rayon produits non alimentaires"
"RNCP417";"B1501";"Fabrication et réparation d''instruments de musique"
"RNCP418";"H2301";"Conduite d''équipement de production chimique ou pharmaceutique"
"RNCP418";"H2701";"Pilotage d''installation énergétique et pétrochimique"
"RNCP418";"H2903";"Conduite d''équipement d''usinage"
"RNCP418";"I1602";"Maintenance d''aéronefs"
"RNCP419";"I1602";"Maintenance d''aéronefs"
"RNCP419";"H2903";"Conduite d''équipement d''usinage"
"RNCP420";"H2903";"Conduite d''équipement d''usinage"
"RNCP421";"H2903";"Conduite d''équipement d''usinage"
"RNCP422";"H2903";"Conduite d''équipement d''usinage"
"RNCP422";"H2901";"Ajustement et montage de fabrication"
"RNCP423";"H1209";"Intervention technique en études et développement électronique"
"RNCP423";"H1203";"Conception et dessin produits mécaniques"
"RNCP425";"H2501";"Encadrement de production de matériel électrique et électronique"
"RNCP425";"H1209";"Intervention technique en études et développement électronique"
"RNCP425";"H1504";"Intervention technique en contrôle essai qualité en électricité et électronique"
"RNCP426";"H2602";"Câblage électrique et électromécanique"
"RNCP426";"I1602";"Maintenance d''aéronefs"
"RNCP427";"F1602";"Électricité bâtiment"
"RNCP427";"H1504";"Intervention technique en contrôle essai qualité en électricité et électronique"
"RNCP427";"I1309";"Maintenance électrique"
"RNCP427";"I1307";"Installation et maintenance télécoms et courants faibles"
"RNCP427";"I1301";"Installation et maintenance d''ascenseurs"
"RNCP430";"E1205";"Réalisation de contenus multimédias"
"RNCP430";"E1104";"Conception de contenus multimédias"
"RNCP435";"F1703";"Maçonnerie"
"RNCP436";"F1701";"Construction en béton"
"RNCP437";"F1608";"Pose de revêtements rigides"
"RNCP438";"F1202";"Direction de chantier du BTP"
"RNCP448";"H2402";"Assemblage - montage de vêtements et produits textiles"
"RNCP448";"B1803";"Réalisation de vêtements sur mesure ou en petite série"
"RNCP448";"H2411";"Montage de prototype cuir et matériaux souples"
"RNCP451";"B1803";"Réalisation de vêtements sur mesure ou en petite série"
"RNCP452";"B1803";"Réalisation de vêtements sur mesure ou en petite série"
"RNCP453";"B1803";"Réalisation de vêtements sur mesure ou en petite série"
"RNCP455";"H1204";"Design industriel"
"RNCP455";"D1407";"Relation technico-commerciale"
"RNCP456";"K1403";"Management de structure de santé, sociale ou pénitentiaire"
"RNCP456";"M1205";"Direction administrative et financière"
"RNCP457";"M1808";"Information géographique"
"RNCP459";"G1204";"Éducation en activités sportives"
"RNCP460";"B1601";"Métallerie d''art"
"RNCP460";"F1607";"Pose de fermetures menuisées"
"RNCP460";"H2911";"Réalisation de structures métalliques"
"RNCP462";"D1503";"Management/gestion de rayon produits non alimentaires"
"RNCP462";"D1508";"Encadrement du personnel de caisses"
"RNCP462";"D1301";"Management de magasin de détail"
"RNCP462";"D1406";"Management en force de vente"
"RNCP462";"M1701";"Administration des ventes"
"RNCP465";"G1204";"Éducation en activités sportives"
"RNCP466";"F1501";"Montage de structures et de charpentes bois"
"RNCP466";"F1503";"Réalisation - installation d''ossatures bois"
"RNCP471";"F1501";"Montage de structures et de charpentes bois"
"RNCP471";"H2206";"Réalisation de menuiserie bois et tonnellerie"
"RNCP471";"F1503";"Réalisation - installation d''ossatures bois"
"RNCP472";"H2202";"Conduite d''équipement de fabrication de l''ameublement et du bois"
"RNCP472";"F1503";"Réalisation - installation d''ossatures bois"
"RNCP472";"H2206";"Réalisation de menuiserie bois et tonnellerie"
"RNCP473";"F1607";"Pose de fermetures menuisées"
"RNCP473";"H2202";"Conduite d''équipement de fabrication de l''ameublement et du bois"
"RNCP473";"H2201";"Assemblage d''ouvrages en bois"
"RNCP473";"H2206";"Réalisation de menuiserie bois et tonnellerie"
"RNCP474";"D1402";"Relation commerciale grands comptes et entreprises"
"RNCP474";"D1408";"Téléconseil et télévente"
"RNCP474";"D1403";"Relation commerciale auprès de particuliers"
"RNCP475";"G1204";"Éducation en activités sportives"
"RNCP476";"G1204";"Éducation en activités sportives"
"RNCP480";"D1407";"Relation technico-commerciale"
"RNCP480";"D1406";"Management en force de vente"
"RNCP480";"M1705";"Marketing"
"RNCP480";"M1707";"Stratégie commerciale"
"RNCP480";"M1701";"Administration des ventes"
"RNCP481";"M1609";"Secrétariat et assistanat médical ou médico-social"
"RNCP488";"G1204";"Éducation en activités sportives"
"RNCP489";"N1303";"Intervention technique d''exploitation logistique"
"RNCP491";"K1301";"Accompagnement médicosocial"
"RNCP492";"K1207";"Intervention socioéducative"
"RNCP500";"L1503";"Décor et accessoires spectacle"
"RNCP501";"B1501";"Fabrication et réparation d''instruments de musique"
"RNCP503";"K2303";"Nettoyage des espaces urbains"
"RNCP503";"K2301";"Distribution et assainissement d''eau"
"RNCP503";"K2305";"Salubrité et traitement de nuisibles"
"RNCP503";"K2304";"Revalorisation de produits industriels"
"RNCP505";"E1306";"Prépresse"
"RNCP506";"I1310";"Maintenance mécanique industrielle"
"RNCP508";"I1503";"Intervention en milieux et produits nocifs"
"RNCP509";"I1203";"Maintenance des bâtiments et des locaux"
"RNCP510";"I1604";"Mécanique automobile et entretien de véhicules"
"RNCP511";"H2907";"Conduite d''installation de production des métaux"
"RNCP513";"H2901";"Ajustement et montage de fabrication"
"RNCP514";"B1804";"Réalisation d''ouvrages d''art en fils"
"RNCP515";"B1804";"Réalisation d''ouvrages d''art en fils"
"RNCP516";"B1402";"Reliure et restauration de livres et archives"
"RNCP517";"H2206";"Réalisation de menuiserie bois et tonnellerie"
"RNCP517";"H2207";"Réalisation de meubles en bois"
"RNCP517";"B1302";"Décoration d''objets d''art et artisanaux"
"RNCP517";"F1503";"Réalisation - installation d''ossatures bois"
"RNCP517";"H2208";"Réalisation d''ouvrages décoratifs en bois"
"RNCP518";"H2207";"Réalisation de meubles en bois"
"RNCP518";"H2208";"Réalisation d''ouvrages décoratifs en bois"
"RNCP519";"H2206";"Réalisation de menuiserie bois et tonnellerie"
"RNCP519";"H2207";"Réalisation de meubles en bois"
"RNCP519";"H2208";"Réalisation d''ouvrages décoratifs en bois"
"RNCP519";"F1503";"Réalisation - installation d''ossatures bois"
"RNCP520";"B1804";"Réalisation d''ouvrages d''art en fils"
"RNCP521";"B1602";"Réalisation d''objets artistiques et fonctionnels en verre"
"RNCP523";"B1602";"Réalisation d''objets artistiques et fonctionnels en verre"
"RNCP523";"B1302";"Décoration d''objets d''art et artisanaux"
"RNCP525";"B1602";"Réalisation d''objets artistiques et fonctionnels en verre"
"RNCP526";"B1603";"Réalisation d''ouvrages en bijouterie, joaillerie et orfèvrerie"
"RNCP527";"B1603";"Réalisation d''ouvrages en bijouterie, joaillerie et orfèvrerie"
"RNCP530";"B1601";"Métallerie d''art"
"RNCP530";"B1603";"Réalisation d''ouvrages en bijouterie, joaillerie et orfèvrerie"
"RNCP531";"B1601";"Métallerie d''art"
"RNCP531";"B1603";"Réalisation d''ouvrages en bijouterie, joaillerie et orfèvrerie"
"RNCP532";"B1601";"Métallerie d''art"
"RNCP532";"B1603";"Réalisation d''ouvrages en bijouterie, joaillerie et orfèvrerie"
"RNCP534";"B1401";"Réalisation d''objets en lianes, fibres et brins végétaux"
"RNCP535";"I1606";"Réparation de carrosserie"
"RNCP538";"D1103";"Charcuterie - traiteur"
"RNCP538";"H2101";"Abattage et découpe des viandes"
"RNCP541";"D1106";"Vente en alimentation"
"RNCP553";"B1802";"Réalisation d''articles en cuir et matériaux souples (hors vêtement)"
"RNCP555";"L1502";"Costume et habillage spectacle"
"RNCP557";"H2903";"Conduite d''équipement d''usinage"
"RNCP558";"B1201";"Réalisation d''objets décoratifs et utilitaires en céramique et matériaux de synthèse"
"RNCP559";"N1102";"Déménagement"
"RNCP560";"E1205";"Réalisation de contenus multimédias"
"RNCP560";"E1204";"Projection cinéma"
"RNCP561";"N1103";"Magasinage et préparation de commandes"
"RNCP562";"B1302";"Décoration d''objets d''art et artisanaux"
"RNCP563";"H2207";"Réalisation de meubles en bois"
"RNCP563";"H2208";"Réalisation d''ouvrages décoratifs en bois"
"RNCP566";"B1302";"Décoration d''objets d''art et artisanaux"
"RNCP567";"N1103";"Magasinage et préparation de commandes"
"RNCP567";"H3302";"Opérations manuelles d''assemblage, tri ou emballage"
"RNCP571";"H2208";"Réalisation d''ouvrages décoratifs en bois"
"RNCP572";"F1602";"Électricité bâtiment"
"RNCP574";"K2201";"Blanchisserie industrielle"
"RNCP577";"D1208";"Soins esthétiques et corporels"
"RNCP579";"H2803";"Façonnage et émaillage en industrie céramique"
"RNCP581";"B1501";"Fabrication et réparation d''instruments de musique"
"RNCP582";"B1601";"Métallerie d''art"
"RNCP583";"D1209";"Vente de végétaux"
"RNCP584";"B1803";"Réalisation de vêtements sur mesure ou en petite série"
"RNCP585";"I1306";"Installation et maintenance en froid, conditionnement d''air"
"RNCP586";"K2501";"Gardiennage de locaux"
"RNCP587";"K2303";"Nettoyage des espaces urbains"
"RNCP587";"K2304";"Revalorisation de produits industriels"
"RNCP588";"D1104";"Pâtisserie, confiserie, chocolaterie et glacerie"
"RNCP589";"B1303";"Gravure - ciselure"
"RNCP590";"B1604";"Réparation - montage en systèmes horlogers"
"RNCP591";"H2301";"Conduite d''équipement de production chimique ou pharmaceutique"
